2025-09-25 17:14:41,725 p=7132 u=root n=ansible | [DEPRECATION WARNING]: DEFAULT_GATHER_SUBSET option, the module_defaults 
keyword is a more generic version and can apply to all calls to the 
M(ansible.builtin.gather_facts) or M(ansible.builtin.setup) actions, use 
module_defaults instead. This feature will be removed from ansible-core in 
version 2.18. Deprecation warnings can be disabled by setting 
deprecation_warnings=False in ansible.cfg.
2025-09-25 17:14:41,944 p=7132 u=root n=ansible | PLAY [Bootstrap common prerequisites] ******************************************
2025-09-25 17:14:41,974 p=7132 u=root n=ansible | TASK [Gathering Facts] *********************************************************
2025-09-25 17:14:54,878 p=7132 u=root n=ansible |  [ERROR]: User interrupted execution

2025-09-25 17:15:27,585 p=7374 u=root n=ansible | [DEPRECATION WARNING]: DEFAULT_GATHER_SUBSET option, the module_defaults 
keyword is a more generic version and can apply to all calls to the 
M(ansible.builtin.gather_facts) or M(ansible.builtin.setup) actions, use 
module_defaults instead. This feature will be removed from ansible-core in 
version 2.18. Deprecation warnings can be disabled by setting 
deprecation_warnings=False in ansible.cfg.
2025-09-25 17:15:27,766 p=7374 u=root n=ansible | PLAY [Bootstrap common prerequisites] ******************************************
2025-09-25 17:15:27,780 p=7374 u=root n=ansible | TASK [Gathering Facts] *********************************************************
2025-09-25 17:15:46,147 p=7374 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:15:46,196 p=7374 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:15:46,271 p=7374 u=root n=ansible | ok: [test-master]
2025-09-25 17:15:46,332 p=7374 u=root n=ansible | TASK [common : Remove old Docker packages] *************************************
2025-09-25 17:15:50,445 p=7374 u=root n=ansible | ok: [test-master]
2025-09-25 17:15:58,311 p=7374 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:15:58,655 p=7374 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:15:58,674 p=7374 u=root n=ansible | TASK [common : Remove old Docker repo if exists] *******************************
2025-09-25 17:16:00,712 p=7374 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:16:00,734 p=7374 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:16:00,859 p=7374 u=root n=ansible | ok: [test-master]
2025-09-25 17:16:00,869 p=7374 u=root n=ansible | TASK [common : Clean dnf cache] ************************************************
2025-09-25 17:16:03,393 p=7374 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:16:03,446 p=7374 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:16:03,603 p=7374 u=root n=ansible | changed: [test-master]
2025-09-25 17:16:03,620 p=7374 u=root n=ansible | TASK [common : Ensure python3 installed] ***************************************
2025-09-25 17:16:03,850 p=7374 u=root n=ansible | changed: [test-master]
2025-09-25 17:16:03,904 p=7374 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:16:03,957 p=7374 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:16:03,968 p=7374 u=root n=ansible | TASK [common : Ensure /usr/bin/python symlink points to python3] ***************
